model,prompt_id,category,tps,ttft,latency,peak_vram_mb,error,temp_0.0_success,temp_0.0_error,temp_0.7_success,temp_0.7_error
tinyllama,101,Chat & Generation,119.5672338699598,3.310186299999259,4.380964399999357,1521.50390625,,True,,True,
tinyllama,102,Chat & Generation,120.81277549796101,0.028098099999624537,1.0823666999995112,1521.50390625,,True,,True,
tinyllama,103,Chat & Generation,116.50613395693242,0.04980859999977838,1.1426879999999073,1521.50390625,,True,,True,
tinyllama,104,Chat & Generation,83.42239869245817,0.03586220000033791,1.5700623000002452,1521.50390625,,True,,True,
tinyllama,105,Chat & Generation,112.45277422751094,0.036833999999544176,1.1736457999995764,1521.50390625,,True,,True,
tinyllama,106,Chat & Generation,112.81050540780953,0.03822810000019672,1.1659744000007777,1521.50390625,,True,,True,
tinyllama,107,Chat & Generation,97.79270406835221,0.10112490000028629,1.4079893999996784,1521.50390625,,True,,True,
tinyllama,108,Chat & Generation,117.95697777266632,0.029948099999273836,1.1115579999996044,1523.50390625,,True,,False,Max retries exceeded
tinyllama,109,Chat & Generation,112.12240262541614,0.03600879999976314,1.1771637000001647,1523.50390625,,True,,True,
tinyllama,110,Chat & Generation,116.5701987558317,0.02892729999985022,1.12377110000034,1523.50390625,,True,,True,
tinyllama,111,Chat & Generation,116.02652656463583,0.02885210000022198,1.1263415000003079,1523.50390625,,,,,
tinyllama,112,Chat & Generation,116.16417192007033,0.032116299999870535,1.1345209999999497,1523.50390625,,,,,
tinyllama,113,Chat & Generation,116.24789573144992,0.0296781999995801,1.1267156000003524,1523.50390625,,,,,
tinyllama,114,Chat & Generation,113.6998453770931,0.02947149999999965,1.150593200000003,1523.50390625,,,,,
tinyllama,115,Chat & Generation,115.55485741162536,0.031088600000657607,1.135852000000341,1523.50390625,,,,,
tinyllama,116,Chat & Generation,113.9879512954419,0.02997529999993276,1.147137400000247,1523.50390625,,,,,
tinyllama,117,Chat & Generation,113.67811491134482,0.029698500000449712,1.1518316000001505,1523.50390625,,,,,
tinyllama,118,Chat & Generation,113.95403681730292,0.02945799999997689,1.1481956999996328,1523.50390625,,,,,
tinyllama,119,Chat & Generation,118.98255046533332,0.027165599999534606,1.097990999999638,1523.50390625,,,,,
tinyllama,120,Chat & Generation,76.7518612326349,0.17415920000075857,1.8408785999999964,1523.50390625,,,,,
tinyllama,121,Chat & Generation,112.11083417204793,0.02839849999963917,1.1632559999998193,1523.50390625,,,,,
tinyllama,122,Chat & Generation,116.4514937224002,0.03438860000005661,1.130664400000569,1523.50390625,,,,,
tinyllama,123,Chat & Generation,112.77435666194248,0.03236800000013318,1.1649076000003333,1523.50390625,,,,,
tinyllama,124,Chat & Generation,93.74463989388107,0.030355599999893457,1.3938686000001326,1523.50390625,,,,,
tinyllama,125,Chat & Generation,111.88919752630466,0.058409600000231876,1.2002737000002526,1523.50390625,,,,,
tinyllama,126,Chat & Generation,116.1959761333465,0.046721500000785454,1.1433059000000867,1523.50390625,,,,,
tinyllama,127,Chat & Generation,92.3174633122828,0.02979959999993298,1.412566400000287,1523.50390625,,,,,
tinyllama,128,Chat & Generation,116.08385317133832,0.029557699999713805,1.129510400000072,1523.50390625,,,,,
tinyllama,129,Chat & Generation,113.88075634971962,0.03146219999962341,1.151858500000344,1523.50390625,,,,,
tinyllama,130,Chat & Generation,103.47214525807772,0.03286800000023504,1.2671233000000939,1523.50390625,,,,,
tinyllama,131,Chat & Generation,112.5441043199439,0.05012540000006993,1.1861704000002646,1523.50390625,,,,,
tinyllama,132,Chat & Generation,102.93889748098063,0.04317410000021482,1.284458000000086,1523.50390625,,,,,
tinyllama,133,Chat & Generation,103.17656460408654,0.03481660000034026,1.2784916000000521,1523.50390625,,,,,
tinyllama,134,Chat & Generation,111.93062400011193,0.04289729999982228,1.1945205000001806,1523.50390625,,,,,
tinyllama,135,Chat & Generation,111.5148879345073,0.03065809999952762,1.174329399999806,1523.50390625,,,,,
tinyllama,136,Chat & Generation,97.25103980735784,0.035223700000642566,1.4982297000005929,1523.50390625,,,,,
tinyllama,137,Chat & Generation,83.52601959494318,0.0544238000002224,1.8053241999996317,1523.50390625,,,,,
tinyllama,138,Chat & Generation,90.54379684801482,0.08335059999990335,1.4893042000003334,1523.50390625,,,,,
tinyllama,139,Chat & Generation,112.01000109297259,0.03632350000043516,1.1679028000007747,1523.50390625,,,,,
tinyllama,140,Chat & Generation,116.36457785885722,0.03996949999964272,1.137986899999305,1523.50390625,,,,,
tinyllama,141,Chat & Generation,113.24643556844049,0.03290430000015476,1.160120000000461,1523.50390625,,,,,
tinyllama,142,Chat & Generation,116.91595797784716,0.029317300000002433,1.118364300000394,1523.50390625,,,,,
tinyllama,143,Chat & Generation,116.54172271064027,0.06277989999944111,1.1594032000002699,1523.50390625,,,,,
tinyllama,144,Chat & Generation,116.07006351752867,0.03050119999988965,1.1303686999999627,1523.50390625,,,,,
tinyllama,145,Chat & Generation,116.60484939527177,0.02953849999994418,1.1217158999997991,1523.50390625,,,,,
tinyllama,146,Chat & Generation,114.23786697910724,0.03208919999997306,1.1452009000004182,1523.50390625,,,,,
tinyllama,147,Chat & Generation,116.60012261231644,0.03406549999999697,1.127183700000387,1523.50390625,,,,,
tinyllama,148,Chat & Generation,116.92198134162676,0.03140940000048431,1.1256873000002088,1523.50390625,,,,,
tinyllama,149,Chat & Generation,113.1662875153979,0.028061500000148953,1.1557520000005752,1523.50390625,,,,,
tinyllama,150,Chat & Generation,103.15226055358434,0.030936299999666517,1.2696926999997231,1523.50390625,,,,,
